GEOID,salesgr500k_1997,salesgr500Slope,totMarkValue_1997,totMarkSlope,perBigMark1997,perMarkSlope,opgr500k_1997,opgr500kSlope,opgr2000acres_1997,slopelargeCropOp,countyCornGrain_1997,SlopeCornGrain,countyCornSilage_1997,cornSilSlope,countyCotton_1997,CottonSlope,countyRice_1997,riceSlope,countySoybean_1997,soybeanSlope,countyWheat_1997,countyWheatSlope,cattlegr500_1997,cattlegr500_slope,ophogsgr1000_1997,hogsSlope,broilgr500000_2002,SlopeBroilOp,layergr100000_2002,layerSlope,turkeyContracts_2002,turkeySlope,Adens_Int,Adens_Slope,CattleAMU_1997,CattleAMUSlope,HogAMU1997,HogAMUSlope,TukeyAMU1997,TurkeyAMUSlope,Broiler_1997,BroilerAMUSlope,LayerAMU1997,LayerAMU
5001,76434000,9453240,143671000,6871860,53.20071552,2.452096228,101,4.32,47,1,6525,2003.156889,NA,NA,2080,-83.2,123297,-1934.32,212213,-203.94,87849,-4114.96,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,1.11192182,0.041375266,2981,26.12,105.2,-4.976,0,0.00432,0,0,2.2,0.0442
5003,40971000,1502700,62928000,701980,65.10774218,1.452463934,38,0.36,21,0.02,1112,873.9952251,0.00,0.12,56729,-2227.34,20770,-983.12,51931,-109.68,4579,-181.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.211825052,-0.224273862,5271,-100.06,136.8,-7.384,0,-0.00864,0,-0.0112,2.3,-0.0382
5005,11270000,720960,21369000,581180,52.7399504,1.526318659,8,0.02,0,0.14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.02,NA,NA,NA,NA,NA,NA,5,-0.12,18.41761296,-0.940132435,21378,-225.32,236.8,-14.36,4728.618,58.1688,1905.06,-88.0372,4.91,-0.3644
5007,252954000,16332580,345816000,13266120,73.14699146,1.162431428,229,0.08,8,0,0,14.54979536,621.00,8.86,NA,NA,NA,NA,918,69.44,965,-19.84,17,1.16,7,-0.26,72,1.18,2,0.02,38,-1.3,156.6645348,-5.9925304,106006,-360,26665.2,-1006.416,28141.326,-1077.27408,189500.94,-188.2938,0,0
5009,3.40E+07,4753400,62377000,4959440,54.50727031,1.342559064,41,1.82,6,0.38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,0.76,1,-0.04,13,-0.56,NA,NA,21,0.86,73.38984941,1.242507697,63833,503.74,1894,-52.192,5832.756,853.21476,36375.8,-925.0324,0,0
5011,5887000,1785080,14646000,1540560,40.19527516,2.449512516,6,0.84,0,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04,NA,NA,5,-0.26,NA,NA,NA,NA,8.499985901,-0.616880448,5509,-119.08,0,-0.664,0,0,5775.16,-87.7144,0,0
5013,0,0,1771000,224520,0,0,0,0.12,0,NA,53,-2.09686221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.234358047,-0.145849867,4138,-46.56,47.2,-0.928,0,0,0,0,0,0
5015,105446000,12488440,151903000,11457060,69.41666722,1.341745264,105,3.26,7,0.02,0,0.379263302,0.00,7.02,NA,NA,NA,NA,NA,NA,0,-4,12,0.5,1,-0.04,17,0.2,1,0,40,0.22,104.9994275,5.3328991,73471,373.06,646,-23.888,20695.806,1186.42896,74348.69,204.8692,0,0
5017,63292000,6143500,102838000,4514720,61.54534316,2.087428982,61,2.5,39,1.58,3092,1534.382674,0.00,0,48280,-1283.56,37389,-806.76,143140,2279.44,9679,-360.1,3,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,4.013447417,-0.416824163,6780,-138.2,0,-1.016,0,0.00648,0,0.0072,1.17,-0.0032
5019,11008000,36860,20182000,-59160,54.54365276,0.521075429,11,7.11E-18,2,-0.04,1032,-46.63437926,0.00,NA,0,0,1179,-47.16,9987,-117.78,925,-44.82,2,-0.08,3,-0.14,NA,NA,NA,NA,NA,NA,10.5338083,-1.537535748,17162,-278.48,2411.2,-120.272,0,-0.0126,6010.34,-291.014,0,0
