"","totMarkValue_1997","perBigMark1997","opgr500k_1997","opgr2000acres_1997","cattlegr500_1997","ophogsgr1000_1997","broilgr500000_2002","layergr100000_2002","turkeyContracts_2002","Adens_Int","cluster"
"5001",143671000,53.20071552,101,47,0,0,0,0,0,1.11192182,"1"
"5003",62928000,65.10774218,38,21,0,0,0,0,0,2.211825052,"1"
"5005",21369000,52.7399504,8,0,2,0,0,0,5,18.41761296,"2"
"5007",345816000,73.14699146,229,8,17,7,72,2,38,156.6645348,"3"
"5009",62377000,54.50727031,41,6,5,1,13,0,21,73.38984941,"3"
"5011",14646000,40.19527516,6,0,0,0,5,0,0,8.499985901,"2"
"5013",1771000,0,0,0,0,0,0,0,0,2.234358047,"2"
"5015",151903000,69.41666722,105,7,12,1,17,1,40,104.9994275,"3"
"5017",102838000,61.54534316,61,39,3,0,0,0,0,4.013447417,"1"
"5019",20182000,54.54365276,11,2,2,3,0,0,0,10.5338083,"2"
"5021",89960000,38.58270342,45,19,2,0,0,0,0,3.301319053,"1"
"5023",49890000,35.77871317,16,1,3,1,12,0,0,52.04397477,"2"
"5025",53968000,75.15379484,27,0,1,0,24,0,0,30.77742658,"1"
"5027",41683000,77.55199962,32,1,3,0,13,0,0,21.37759684,"1"
"5029",85697000,49.71702627,51,9,5,16,15,0,1,82.42363904,"1"
"5031",127190000,41.38375658,62,24,0,0,0,0,0,4.191076529,"1"
"5033",60915000,55.88114586,42,6,4,0,1,0,6,40.34105332,"2"
"5035",85665000,61.97046635,52,50,0,0,0,0,0,0.657243106,"1"
"5037",104121000,59.63158249,65,42,3,0,0,0,0,3.088004667,"1"
"5039",1987000,0,1,0,0,0,0,0,0,1.823165153,"2"
"5041",104336000,61.48021776,65,36,0,0,1,0,0,1.465723175,"1"
"5043",36948000,47.15275522,23,5,2,0,3,0,0,6.481453908,"2"
"5045",21407000,10.51992339,3,5,7,0,0,0,0,27.36913372,"2"
"5047",100958000,76.64771489,68,3,6,1,5,0,38,64.92742711,"3"
"5049",15705000,0,1,7,5,0,0,0,0,29.72295166,"2"
"5051",25647000,77.98962842,6,0,1,2,0,0,0,5.105298016,"2"
"5053",4907000,0,1,1,2,0,1,0,0,8.20943062,"2"
"5055",65362000,28.85621615,23,12,0,0,0,0,0,6.012665905,"2"
"5057",145045000,72.73397911,81,6,11,9,37,1,0,90.82267774,"3"
"5059",10290000,24.80077745,4,1,4,0,0,0,0,10.57456526,"2"
"5061",132405000,54.97602054,74,1,2,28,10,0,0,98.0330892,"1"
"5063",74413000,62.39366777,31,13,6,0,12,0,0,38.56845222,"1"
"5065",28674000,55.09869568,14,3,2,1,2,0,1,29.71904077,"2"
"5067",81248000,45.63681568,38,35,0,0,0,0,0,3.286467767,"1"
"5069",96960000,73.44884488,66,47,1,0,3,0,0,5.071066555,"1"
"5071",84325000,73.74206937,55,2,6,4,22,0,17,58.49521227,"3"
"5073",73577000,78.18204058,59,8,7,0,25,0,0,52.7256822,"1"
"5075",76239000,30.58014927,30,20,2,0,0,0,0,19.20080398,"1"
"5077",81209000,69.9319041,55,41,0,0,0,0,0,1.673680508,"1"
"5079",110629000,78.48032614,61,22,3,1,23,0,0,34.17799416,"1"
"5081",38213000,54.88708031,24,18,7,10,6,0,0,41.32710735,"1"
"5083",93606000,64.39437643,63,10,5,5,28,0,9,71.69722204,"1"
"5085",127831000,52.1837426,73,33,0,0,0,0,0,9.77962996,"1"
"5087",109236000,51.23310996,66,6,8,8,22,0,24,64.79756523,"3"
"5089",21706000,57.85036395,9,6,2,0,1,0,10,22.53898045,"2"
"5091",47521000,57.542981,36,12,7,0,5,0,0,31.1831613,"1"
"5093",171483000,71.55636419,130,69,0,0,0,0,0,0.728249266,"1"
"5095",64064000,54.10995255,40,37,0,0,0,0,0,0.954634382,"1"
"5097",43643000,43.25321357,23,0,1,7,5,0,0,23.79487956,"2"
"5099",34766000,46.30386009,16,1,2,0,6,0,0,25.37621994,"2"
"5101",10146000,44.6481372,5,2,0,3,1,0,0,10.8454071,"2"
"5103",7393000,59.89449479,7,1,1,0,0,0,0,6.009792535,"2"
"5105",37536000,54.0601023,25,2,0,4,6,0,0,34.00790018,"2"
"5107",114858000,71.40643229,66,47,1,0,0,0,0,1.708017239,"1"
"5109",58115000,59.29966446,33,0,2,10,3,0,0,35.96217409,"2"
"5111",142996000,42.62287057,81,34,0,0,0,0,0,1.030301605,"1"
"5113",103458000,46.47489803,55,2,4,11,3,0,0,49.50835122,"1"
"5115",113736000,61.41151438,68,4,3,22,11,0,1,58.83848946,"1"
"5117",91276000,48.02795916,49,32,2,1,0,0,0,3.523420079,"1"
"5119",25464000,50.55765002,10,13,2,0,2,0,0,6.126736552,"2"
"5121",44979000,45.06325174,23,17,6,0,0,0,0,21.08116469,"1"
"5123",69522000,54.67765599,45,42,0,0,0,0,0,1.647225383,"1"
"5125",4160000,0,1,0,1,0,0,0,0,5.640534209,"2"
"5127",92439000,58.48072783,42,1,1,1,21,0,0,37.45109926,"1"
"5129",10499000,0,0,8,6,1,0,0,0,19.40086509,"2"
"5131",38552000,54.17617763,22,1,5,1,8,0,0,34.72713897,"2"
"5133",132676000,68.65672767,90,5,7,37,20,0,0,95.13168514,"1"
"5135",33477000,56.90175344,18,7,4,0,5,0,0,25.23159766,"2"
"5137",38457000,30.25196973,16,3,2,0,5,0,0,40.94438782,"2"
"5139",51789000,72.90737415,30,1,0,0,13,0,0,19.89107899,"1"
"5141",21052000,0,1,1,1,3,0,0,0,17.41122344,"2"
"5143",365172000,73.09185808,171,4,16,11,69,2,34,137.8034594,"3"
"5145",64498000,39.5686688,29,18,9,0,2,0,0,24.55852464,"2"
"5147",74024000,69.18161677,62,51,1,0,0,0,0,0.842364429,"1"
"5149",115954000,58.68706556,67,7,5,17,20,0,0,48.66945712,"1"
"17001",120059000,24.72451045,32,10,3,31,0,0,0,36.11111748,"1"
"17003",13225000,43.20604915,8,7,0,0,0,0,0,5.253198787,"2"
"17005",45698000,12.60886691,8,6,0,2,0,0,0,17.90348295,"2"
"17007",54132000,34.87401168,21,5,1,3,0,0,0,20.87900527,"2"
"17009",30657000,33.8160942,12,10,1,5,0,0,0,22.91369541,"2"
"17011",202518000,39.57771655,65,18,3,29,0,0,0,25.27261679,"1"
