GEOID,InitialCluster,Megacluster
5001,Medium,Medium
5003,Medium,Low
5005,Low,Low
5007,HighCons,Medium
5009,HighCons,High
5011,Low,Low
5013,Low,Low
5015,HighCons,High
5017,Medium,Medium
5019,Low,Low
5021,Medium,Medium
5023,Low,Low
5025,HighBalanced,Medium
5027,HighBalanced,Low
5029,HighBalanced,Low
5031,Medium,Medium
5033,Low,Low
5035,Medium,Low
5037,Medium,Low
5039,Low,Low
5041,Medium,Medium
5043,Low,Low
5045,Low,Low
5047,HighCons,Medium
5049,Low,Low
5051,Low,Low
5053,Low,Low
5055,Low,Medium
5057,HighCons,Low
5059,Low,Low
5061,HighBalanced,Medium
5063,Medium,Medium
5065,Low,Low
5067,Medium,Low
5069,Medium,Low
5071,HighCons,Low
5073,HighBalanced,Low
5075,Medium,Low
5077,Medium,Low
5079,Medium,Medium
5081,Medium,Low
5083,HighBalanced,High
5085,Medium,Low
5087,HighCons,High
5089,Low,Low
5091,Medium,Low
5093,Medium,Medium
5095,Medium,Low
5097,Low,Low
5099,Low,Low
5101,Low,Low
5103,Low,Low
5105,Low,Low
5107,Medium,Medium
5109,Low,Low
5111,Medium,Medium
5113,HighBalanced,Low
5115,HighBalanced,Low
5117,Medium,Low
5119,Low,Low
5121,Medium,Medium
5123,Medium,Low
5125,Low,Low
5127,HighBalanced,Low
5129,Low,Low
5131,Low,Medium
5133,HighBalanced,Low
5135,Low,Medium
5137,Low,Low
5139,HighBalanced,Low
5141,Low,Low
5143,HighCons,Medium
5145,Low,Low
5147,Medium,Low
5149,HighBalanced,Medium
17001,HighBalanced,Medium
17003,Low,Low
17005,Low,Low
17007,Low,Low
17009,Low,Low
17011,HighBalanced,Medium
17013,Low,Low
17015,HighBalanced,Low
17017,Low,Low
17019,HighBalanced,Medium
17021,Medium,Medium
17023,Medium,Low
17025,Low,Low
17027,HighBalanced,Medium
17029,Low,Low
17031,Low,Low
17033,Low,Low
17035,Low,Low
17037,HighBalanced,Medium
17039,Low,Low
17041,Low,Medium
17043,Low,Low
17045,Medium,Low
17047,Low,Low
17049,HighBalanced,Medium
17051,Low,Low
17053,Low,Low
17055,Low,Low
17057,Medium,Medium
17059,Medium,Low
17061,HighBalanced,Low
17063,Low,Medium
17065,Low,Low
17067,HighBalanced,Medium
17069,Low,Low
17071,Low,Low
17073,HighBalanced,Medium
17075,HighBalanced,Medium
17077,Low,Low
17079,HighBalanced,Medium
17081,Low,Low
17083,Low,Low
17085,Low,Medium
17087,Low,Low
17089,Medium,Low
17091,Medium,Low
17093,Low,Low
17095,HighBalanced,Medium
17097,Low,Low
17099,HighBalanced,Medium
17101,Low,Low
17103,HighBalanced,Medium
17105,HighBalanced,Medium
17107,HighBalanced,Medium
17109,Low,Medium
17111,HighBalanced,Low
17113,HighBalanced,Medium
17115,Medium,Medium
17117,HighBalanced,Low
