GEOID,State,COUNTY,NCHS_URCS_2013,InitialCluster,Megacluster,IntCropFail,SlopeCropFail,DAPerChange,DARat1988,AllMedDebt,AllStudentLoanDebt,AutoDebtAll,AllCardDebt,FarmJobROC,farmJobInt,ManufROC,ManufInt,MiningROC,MiningInt,AllDebt,PerCroplandGain,PerCroplandLoss,HWAV_AFREQ,DRGT_AFREQ,HAIL_AFREQ,YL2080q0.5,Per_Prod_Off_Farm_100Days,HOMI_RATE,SUI_RATE,DrugOD,AlcDeaths,CARDIO_DEATHS,Diabetes_DEATHS,PER_RURAL,PER_FARMRENT,PER_FOOD_INSECURITY,PREVENT_HOSP_STAY,SOC_ASSO_PER100000,INJ_DEATHS,Deep_Pov_All,PctEmpChange1020,Poverty_Rate_ACS,Median_HH_Inc_ACS,NonEnglishHHPct,Ed1LessThanHSPct,PopChangeRate1019,CHR_MENTAL_DISTRESS,CHR_ADULT_OBESITY,CHR_EXCESS_DRINK,CHR_PHYSICAL_DISTRESS,CHR_SMOKING,CHR_MENTAL_DR_RATE,ACS_PCT_UNINSURED,ACS_PCT_CHILD_DISAB,ACS_PCT_OWNED_HH,ACS_PCT_MOBILE_HOME,ACS_PCT_DIVORCE_SEPARAT,ACS_PCT_1FAM_HH_FOOD_STMP,ACS_PCT_VA_POOR,ACS_PCT_DISABLE,ACS_PCT_WHITE,ACS_PCT_VA,ACS_PCT_AGE_45_64,ACS_TOTAL_POP_WT,ACS_PCT_AGE_65UP
5001,Arkansas,Arkansas County,6,Medium,Medium,0.008699278,0.064697076,-0.103939239,80.5667862,0.1355311,0.1111111,0.0877193,0.0808824,0.00953381,6.134807594,0.139281212,25.10593192,0.00454472,0.083667404,0.3736264,0.510638298,3.250591017,1.235584843,7.867279657,3.638029565,-41.80132347,35.95,7.789115268,14.46549978,16.69096129,7.789115268,466.2,55.6,34.70739787,68.12363341,19.4,6767,13.35782268,101.12446,7.186858316,-2.2,17.34542551,46696,0.507275397,16.09112131,-8.012,14.6,30.6,12.98,14.1,19.47,86.8,9.534,10.687,64.632,16.28,16.281,41.701,21.739,23.174,72.61,8.552,27.541,18569,17.75
5003,Arkansas,Ashley County,6,Medium,Low,5.566684771,0.441133605,-0.001234282,81.587882,0.2994186,0.1269841,0.0333333,0.0684932,0.02830154,4.885381788,-0.673000134,29.06076124,0.01466066,-0.022974412,0.4738372,1.345549738,1.465968586,2.059308072,16.54871431,3.709378907,-25.34241494,39.83,11.84413123,14.80516404,12.83114217,9.870109361,429.3,30.6,51.6816913,64.39430685,19.4,7550,13.804664,80.89116727,6.246267171,-27.2,16.65837149,44744,0.657470672,16.71496885,-9.95,14.51,42.6,13.25,14.44,20.11,71.98,12.179,6.652,75.114,23.077,13.756,49.672,9.264,22.351,71.699,6.885,27.319,20989,18.114
5005,Arkansas,Baxter County,5,Low,Low,0,0,1.013300092,81.0962951,0.2316456,0.125,0.0177936,0.0366379,-0.034314964,3.016907392,-0.199048478,13.97739765,0.011756194,-0.052431576,0.3189873,0.447580645,1.383064516,0.164744645,12.55002054,5.028691885,NA,52.12,5.313470614,33.32995203,20.77083967,12.55911236,482.6,48.8,65.84202539,21.75880289,13.9,4453,9.672349172,101.482913,3.908237136,3,13.10898063,42260,0.358014646,11.26986625,1.017,14.1,33.7,12.92,13.6,17.96,270.38,9.214,2.746,75.345,15.778,14.747,36.993,12.175,21.517,96.77,14.687,27.862,40992,30.072
5007,Arkansas,Benton County,3,HighCons,Medium,-0.081842175,0.019033541,0.467271691,78.3219801,0.1584801,0.1096774,0.0326902,0.0291667,-0.077460035,2.667736046,-0.463751646,14.53653939,0.011483561,0.091609387,0.2706209,2.387267905,5.697612732,1.482701812,11.34125597,8.256202643,NA,52.75,2.413251162,17.19441453,13.57453779,10.33173154,218.7,36.5,25.16004861,25.71906807,11.1,3144,8.561772437,61.20112443,3.64169252,33.5,9.439434709,66362,2.973809499,11.41817178,25.404,13.02,29.3,17.33,13.3,17.58,184.64,11.48,2.653,66.948,5.248,11.954,20.747,7.233,9.318,88.278,8.938,23.233,245231,12.784
5009,Arkansas,Boone County,5,HighCons,High,-0.037401485,0.004488524,1.34029336,71.8084411,0.1837061,0.131579,0.0163265,0.0386905,-0.028122458,6.747974314,-0.212261354,12.17357163,0.0055019,0.01454204,0.3306709,4.814814815,1.687242798,0.247116968,11.74137289,6.360921436,NA,52.89,4.81749715,25.15804067,13.91721399,13.38193653,481.7,18.7,62.19819527,24.8720262,14.6,3839,10.70062331,82.53699426,5.18973519,-2.1,14.65738466,45374,0.039909538,12.5890005,1.461,13.83,34.4,15.57,13.69,19.6,94.03,11.449,5.305,71.988,13.479,15.645,42.83,11.497,20.306,96.52,11.948,27.085,37301,19.729
5011,Arkansas,Bradley County,6,Low,Low,2.06719228,0.059081393,0.902980486,61.1103652,0.221519,0.173913,0.0533333,0.0307692,-0.079278553,4.959874908,-0.166499162,17.98689329,-0.008364998,0.119939409,0.4367089,0.462121212,0.196969697,0.988467874,19.92159103,3.670174622,NA,53.47,10.98619402,18.31032336,13.9,10.2,553,24.51495412,49.59158846,11.63682864,20.1,7001,11.96612666,90.91074383,9.601113173,-10.9,20.51020408,43184,3.145508034,18.96276596,-6.164,16.01,46.4,12.27,16.46,22.56,9.01,14.33,4.718,64.527,17.134,15.661,56.604,17.626,23.235,61.581,7.575,27.379,11096,18.286
5013,Arkansas,Calhoun County,5,Low,Low,1.617674648,-0.076851406,0.669863224,68.8176198,0.1636364,0.2,0.037037,0.0555556,-0.010423267,2.964954884,-0.048015066,59.41999928,-0.004988589,0.138582456,0.3454545,0.1484375,0.0859375,0.823723228,24.78900021,3.822175112,NA,64.24,7.666947788,23.00084336,13.9,10.2,513.7,40.4,100,21.61686233,17.1,4115,13.34095674,111.1153684,8.267405063,-7,13.44936709,46417,0.162162162,15.76540221,-3.226,14.91,29.4,13.53,15.1,21.5,0,12.248,10.196,81.77,26.835,13.67,34.262,6.911,29.018,76.622,10.477,31.324,5210,18.541
5015,Arkansas,Carroll County,6,HighCons,High,-0.023126948,0.002938252,0.847420708,81.8507636,0.233945,0.0344828,0.0416667,0.0331754,-0.049956363,8.830655688,-0.015108108,23.14923035,-0.002154799,0.149933961,0.3761468,5.310218978,1.04379562,1.070840197,11.31277968,7.278268722,NA,54.15,3.574058057,25.73321801,20.72953673,21.44434834,433.9,33.6,72.83392844,24.31816382,12.3,3898,13.24076725,103.4029628,6.265129891,2.4,14.79929183,46110,2.172546907,13.72153939,3.001,14.35,27.7,13.16,14.49,18.68,68.58,16.584,2.935,76.016,14.992,16.058,30.698,12.667,17.199,93.377,12.71,28.443,27690,20.914
5017,Arkansas,Chicot County,6,Medium,Medium,18.69441146,-0.247975918,-0.0087792,80.2623899,0.372093,0.2424242,0.0757576,0.030303,0.070854284,11.99670372,-0.700362774,12.64866218,0.013739118,0.076387035,0.5813953,5.478723404,5.319148936,2.059308072,14.8802591,3.615293596,-48.20642077,36.4,7.1,22.98,13.9,10.2,490.9,60.2,54.27966102,63.73147142,25.7,7061,8.461827755,101.4273596,15.28559936,-22.6,28.88173773,34147,0.294985251,19.23128612,-14.247,15.87,38.8,11.39,17.07,22.98,435.3,12.772,9.739,66.195,18.495,16.252,51.965,20.93,24.46,42.703,7.692,28.331,11189,19.233
5019,Arkansas,Clark County,5,Low,Low,0.273666766,0.533645786,1.010485003,69.6307419,0.1578947,0.1219512,0.0283019,0.0422535,-0.010124953,3.023960281,-0.663151672,21.0505352,0.006295428,0.031572048,0.375,0.408963585,0.941176471,0.823723228,28.15075569,5.087778267,-45.77814855,53.39,5.35886535,14.2903076,9.824586474,5.35886535,368.9,36.6,54.37703849,19.29616718,19.5,4252,15.25142421,65.94189984,9.960602081,-8,20.28992828,41620,1.539190149,10.04479538,-2.639,14.98,26.9,14.72,14.99,20.56,207.66,11.109,9.404,63.122,19.539,10.044,41.837,14.194,19.09,72.24,8.533,22.346,22684,15.672
