,perMarkSlope,totMarkSlope,opgr500kSlope,slopelargeCropOp,cattlegr500_slope,hogsSlope,SlopeBroilOp,layerSlope,turkeySlope,Adens_Slope,CattleAMUSlope,HogAMUSlope,TurkeyAMUSlope,BroilerAMUSlope,LayerAMU,cluster
5001,2.452096228,6871860,4.32,1,0.1,0,0,0,0,0.041375266,26.12,-4.976,0.00432,0,0.0442,1
5003,1.452463934,701980,0.36,0.02,0,0,0,0,0,-0.224273862,-100.06,-7.384,-0.00864,-0.0112,-0.0382,2
5005,1.526318659,581180,0.02,0.14,0.02,0,0,0,-0.12,-0.940132435,-225.32,-14.36,58.1688,-88.0372,-0.3644,2
5007,1.162431428,13266120,0.08,0,1.16,-0.26,1.18,0.02,-1.3,-5.9925304,-360,-1006.416,-1077.27408,-188.2938,0,1
5009,1.342559064,4959440,1.82,0.38,0.76,-0.04,-0.56,0,0.86,1.242507697,503.74,-52.192,853.21476,-925.0324,0,3
5011,2.449512516,1540560,0.84,0.06,0.04,0,-0.26,0,0,-0.616880448,-119.08,-0.664,0,-87.7144,0,2
5013,0,224520,0.12,0,0,0,0,0,0,-0.145849867,-46.56,-0.928,0,0,0,2
5015,1.341745264,11457060,3.26,0.02,0.5,-0.04,0.2,0,0.22,5.3328991,373.06,-23.888,1186.42896,204.8692,0,3
5017,2.087428982,4514720,2.5,1.58,-0.06,0,0,0,0,-0.416824163,-138.2,-1.016,0.00648,0.0072,-0.0032,1
5019,0.521075429,-59160,7.11E-18,-0.04,-0.08,-0.14,0,0,0,-1.537535748,-278.48,-120.272,-0.0126,-291.014,0,2
5021,3.309096936,7916620,4.16,1.18,-0.08,0,0.54,0,0,1.5099478,-136.1,-2.872,-0.00252,639.2934,-0.1594,1
5023,2.56521799,103640,1.12,0.48,0.48,-0.04,-0.42,0,0,-5.809122289,162.78,1.904,0.00576,-1830.8366,0,2
5025,1.284387823,3962360,2.04,-0.02,-0.06,0,-0.16,0,0,4.577767224,-195.18,-0.896,0,1613.5722,0,1
5027,0.636978521,388300,-0.28,0.08,-0.1,0,-0.14,0,0,-2.012728351,-237.46,-12.512,0.01008,-548.6436,0,2
5029,2.410140347,4684880,2.32,-0.02,0.24,-0.48,1.4,0,0,-1.51628032,130.04,-765.816,0.05832,201.9438,0,2
5031,2.870454729,6181060,4.08,1.56,0,-0.02,0,0,0,-0.282961076,-88.58,-15.032,-0.01368,0.0356,-0.0816,1
5033,1.03043412,-72080,-0.54,0.06,0.12,0,-0.1,0,-0.32,-5.265895418,-299.4,-1.192,-269.74836,-1049.2908,0,2
5035,1.758572913,6203520,2.18,0.68,0,0,0,0,0,-0.0647609,-20.84,-0.144,0.02412,0.1396,0.3444,2
5037,1.951660212,4264140,2,0.52,-0.16,0,0,0,0,-0.578092202,-182.52,-2.208,0,0,0.1522,2
5039,0,-19240,-0.06,0.02,0,0,0,0,0,-0.155271337,-52,-1.712,0,0,0.034,2
5041,1.997694299,5377420,2.22,1.44,0,0,-0.06,0,0,-0.318636959,-126.84,0,0,0,0.0568,1
5043,2.448271226,2149000,1.26,0.6,-0.08,0,-0.1,0,0,-0.280005632,-19.56,-8.904,0,-91.6858,0,2
5045,1.583762835,347620,0.52,0.1,-0.02,0,0,0,0,-2.158416546,-722.16,-2.224,0.0486,-0.1154,0,2
5047,0.857944885,4457560,1.2,0.28,0.36,-0.04,1.12,0,-0.98,2.537752338,349.3,0.168,-709.31772,1160.211,0,1
5049,2.041296525,771420,0.44,0.14,0.14,0,0,0,0,-0.512527696,-155.72,-8.44,0.0612,0.3442,-0.367,2
5051,-0.271195405,-336980,0.1,-0.04,-0.04,-0.08,0,0,0,-0.520815418,-199.46,16.688,0.01872,-0.0556,0,2
5053,0.538874818,351820,0.18,0.18,0.48,0,-0.02,0,0,1.016064486,267.58,-0.024,0.0144,64.927,0.037,2
5055,3.489624216,5500960,2.98,1.38,0.04,0,0,0,0,-0.321966804,-87.7,-8.864,0.00648,0.0032,0.2086,1
5057,1.031223376,3936920,1.02,0.16,0.32,-0.16,0.22,-0.04,0,-4.79855771,-63.88,-506.208,0.00612,-1238.2748,0,2
5059,3.020030632,1011040,0.58,0.06,-0.14,0,0.18,0,0,-0.183704317,-180.66,2.008,0.00216,120.0998,0,2
5061,2.123891269,6073880,4.32,0.36,0.6,-0.92,0.86,0,0,-3.106380217,298.12,-1006.784,-0.0108,-238.3862,0,1
5063,1.474570548,4785040,1.9,0.26,0.18,0,0.66,0,0,1.879590274,-379.88,-34.712,-0.00432,1158.4686,0,1
5065,1.452280625,1967220,0.8,0.08,0.48,0,0.76,0,-0.06,1.551652365,120.2,0,0.0072,346.4476,1.42E-17,2
5067,2.189534108,4307320,2.98,0.08,-0.02,0,0,0,0,0.086379662,-27.28,-7.048,-0.01692,62.4048,0.3008,2
5069,1.315463195,5838160,1.6,0.16,-0.04,0,0.04,0,0,0.269918017,-135.42,-8.536,0,265.604,0,2
5071,1.267333248,3039380,0.36,0.16,0.24,-0.2,-0.66,0,0.06,-4.123483464,108.92,-303.536,312.78024,-1527.555,0,2
5073,1.094759133,2831380,0.76,0.3,0.18,0,-0.74,0,0,-1.014552471,139.02,-9.248,0,-407.41,0,2
5075,3.258567507,4749840,2.92,0.64,0.02,0,0.74,0,0,1.289629996,-151.84,-5.344,0.00252,549.7226,0,2
5077,1.188237577,4038900,0.78,0.2,0,0,0,0,0,-0.238859148,-61.32,-13.328,0,0,0.0866,2
5079,1.065061481,5191640,2.2,0.68,-0.08,0,-0.74,0,0,1.388168904,-72.48,0,0,476.266,0,1
5081,2.064936273,2625280,1.52,0.14,0.24,-0.42,-0.02,0,0,0.506238838,146.5,-274.288,0,267.3592,0,2
5083,1.42124445,6753760,2.62,0.16,0.86,-0.22,0.84,0,0.1,3.035749141,717.38,-409.112,309.7296,495.7676,0,3
5085,2.124380965,4764040,2.22,0.78,0.02,0,-0.02,0,0,-0.641760176,-202.18,-1.584,0.00144,-52.8152,0.1498,2
5087,2.259235881,8801120,3.84,0.3,0.28,-0.34,1.6,0,0.42,2.597254569,-1.88,-794.992,1078.80048,840.4598,0,3
5089,1.093430195,1588600,0.5,0.32,0.44,0,-0.08,0,0.14,1.971014094,518.22,-6.752,166.71276,-68.6996,0,2
5091,0.996435088,-346120,-0.62,-0.14,0.16,0,-0.3,0,0,-3.768833305,-339.8,-5.36,-0.009,-876.4136,0,2
5093,1.282582969,8760120,1.46,1.18,0,0,0,0,0,-0.138677622,-64.74,0,0,0,0.0474,1
5095,2.486175509,4467280,2.04,0.36,0,0,0,0,0,-0.158239152,-25.6,-24.24,0,0,0.0748,2
5097,1.627850453,-642700,-0.2,0.1,0,-0.2,-0.2,0,0,-2.644153178,-125.72,-238.504,-0.00936,-703.9964,0,2
5099,2.255397298,1174640,0.98,0.04,0.14,0,0.2,0,0,-0.500228689,-48.62,-0.176,0,-111.2978,0,2
5101,2.552466721,993620,0.28,0.02,0.02,-0.04,0,0,0.26,0.087275555,-75.1,-143.04,255.25188,0,0,2
5103,2.1083166,371860,-7.11E-18,-0.06,-0.08,0,0.14,0,0,0.193339294,-148.66,-0.768,0.03528,222.7804,0,2
5105,1.304134131,756420,0.12,0.12,3.55E-18,-0.2,-0.36,0,0.06,-4.438315,-41.34,-203.392,0,-1023.0294,-0.2922,2
5107,1.445390358,6286780,2.84,1.56,-0.04,0,0,0,0,-0.278804793,-88.26,-12.216,0,0,0.0132,1
5109,1.770368883,2657460,1.8,0,0.06,-0.36,0.24,0,0,-1.368844381,235.16,-693.36,0,32.322,0,2
5111,2.851496101,5618100,3.9,0.98,0,0,0,0,0,0.049137206,16.62,2.312,0.02016,0,0.3504,1
5113,2.563143974,2945100,1.48,-0.02,0.04,-0.44,1.1,0,0,-1.958022581,-182.96,-808.744,-0.02988,122.0338,0,2
5115,1.832357089,3128180,0.48,-0.02,-0.04,-0.94,0.92,0,0.06,-3.88524403,-205.34,-1245.952,72.04752,-255.9826,0,2
5117,2.503384657,3455660,2.56,0.22,-0.1,-0.04,0,0,0,-0.479249528,-161.64,0.672,0.01404,-0.0092,0.1296,2
5119,1.628728952,183280,0.34,-0.06,-0.02,0,-0.1,0,0,-0.693424588,-325.38,-3.128,0.09108,56.1252,-0.1326,2
5121,2.688965886,5349260,2.48,0.12,0.3,0,1.28,0,0,3.589848436,-53.58,-14.496,0.00288,1280.9044,0,1
5123,2.385819215,4973320,2.7,0.54,0,0,0,0,0,-0.20079572,-63.18,-2.976,0,-4.44E-19,0.1336,2
5125,2.063250797,173000,0.08,0,-0.06,0,0,0,0,-0.567314064,-211.6,-0.744,0.04572,0.0256,-0.362,2
5127,1.931759512,2556680,0.72,0.1,0.18,-0.04,-0.14,0,0,-1.761284029,-398.82,0.16,-0.0072,-415.4748,0,2
5129,0.860408344,375480,0.22,-0.02,-0.14,-0.04,0,0,0.12,-0.558896162,-138.78,-53.968,-0.00864,0.0836,-0.1412,2
5131,1.87224523,4140760,2.08,0.1,0.12,-0.04,1,0,0,5.623824738,10.92,0.208,-0.01728,1536.2516,0,1
5133,1.674177467,4388380,1.66,0,0.22,-1.38,1.86,0,0,-3.291311358,-96.08,-1460.608,0.00468,592.9004,0,2
5135,2.305310622,5251960,2.02,0.12,0.18,0,1.74,0,0,6.802256804,32.38,-9.192,-0.0036,2106.4682,0,1
5137,2.756953507,1165660,1.1,0.1,0.68,0,0.06,0,0,-2.627358187,86.74,-2.84,0.01512,-909.067,-0.2352,2
5139,0.471511376,-2049300,-1.1,0.02,0.02,0,-0.82,0,0,-3.360010253,-76.32,-2.016,0.11232,-1730.5746,0,2
5141,0.506254767,-88540,0.08,0.06,0.3,-0.12,0.18,0,0,-0.95415372,24.4,-150.496,-0.02016,-224.2676,-0.4098,2
5143,1.117527325,8351180,0.94,0.08,0.02,-0.44,0.58,-0.12,-1.38,-6.43555564,-1070.44,-1692.952,-592.97832,216.193,0,1
5145,2.294590611,3415460,0.64,0.14,0.06,-0.02,0.54,0.06,0,-1.098340068,-712.72,-23.84,0.0774,147.5904,0,2
5147,1.707534308,3869500,0.9,-0.04,0,0,0,0,0,-0.033228717,-10.1,0,0,0,0,2
5149,2.026431223,7751100,2.84,0.06,0.06,-0.44,1.42,0,0.18,3.064570587,-57,-557.288,153.92736,1936.8456,0,1
17001,2.206349989,6968840,6.16,1.36,0.24,-0.5,0,0,0,1.074620274,-261.52,736.576,0.11916,0.4432,0.3964,1
